email_id,sender,recipient,cc,subject,body,sent_at,sender_dept,recipient_dept,compliance_label
86d4e1e4-f6f8-4d6e-8dd9-ee1c7c783aae,a.bell@acmefund.com,j.morrison@acmefund.com,,Monthly risk report - draft for review,"Hi James,

Attached is the draft monthly risk report. Please review and send any comments by EOD Wednesday.

Thanks,
Andrew",2025-10-21T10:07:00,Client Relations,Trading,CLEAN
a7aea00c-95e0-4c71-8339-7cb0cac19ce6,a.foster@acmefund.com,s.chen@acmefund.com,,Monthly risk report - draft for review,"Hi Sarah,

Attached is the draft monthly risk report. Please review and send any comments by EOD Wednesday.

Thanks,
Amanda",2025-10-21T12:09:00,Portfolio Management,Research,CLEAN
e662925e-6989-4b17-a55d-a5137bb563c9,j.morrison@acmefund.com,e.volkov@acmefund.com,,Welcome aboard!,"Hi Elena,

Welcome to the team! I've set up your onboarding meetings for next week. Please reach out if you have any questions.

Best,
James",2025-10-21T12:18:00,Trading,Trading,CLEAN
110f74c9-a5ca-454f-9275-1fa04b1fd358,d.park@acmefund.com,a.bell@acmefund.com,,Quick trade question,"Andrew,

Thinking of buying some puts on a stock we're long in the fund. Just in my personal account though. Should be fine right? Don't want to bother with pre-clearance.

David",2025-10-22T15:55:00,Trading,Client Relations,PERSONAL_TRADING
c61ad244-5b62-4e10-970e-ea1350e9f189,s.chen@acmefund.com,m.webb@acmefund.com,,Welcome aboard!,"Hi Marcus,

Welcome to the team! I've set up your onboarding meetings for next week. Please reach out if you have any questions.

Best,
Sarah",2025-10-23T11:49:00,Research,Research,CLEAN
79764369-a57b-479e-b68c-bd509d6206b0,a.foster@acmefund.com,s.chen@acmefund.com,,System maintenance notification,"Team,

IT has scheduled system maintenance for Saturday 2am-6am. Trading systems will be unavailable during this window.

Please plan accordingly.
Amanda",2025-10-23T21:27:00,Portfolio Management,Research,CLEAN
6d83bb3a-f81d-4799-917e-901a7b89a1c6,p.sharma@acmefund.com,k.obrien@acmefund.com,,URGENT - Acme Corp news coming,"Hey,

Heads up - I heard from my contact at Acme that they're announcing a major acquisition tomorrow morning. This isn't public yet. Might want to adjust positions before the announcement.

Keep this between us.
Priya",2025-10-24T07:02:00,Research,Operations,INSIDER_TRADING
c9ee3887-4dd9-4bdc-93fa-97b4c6742e34,a.foster@acmefund.com,a.bell@acmefund.com,,Weekly team sync notes,"Hi all,

Attached are the notes from today's sync. Action items highlighted in yellow.

Thanks,
Amanda",2025-10-24T08:52:00,Portfolio Management,Client Relations,CLEAN
780ef32b-b9a1-4e6a-81b0-559b971bd860,r.kim@acmefund.com,a.foster@acmefund.com,j.morrison@acmefund.com,RE: Vacation request,"Approved. Enjoy your time off!

Rachel",2025-10-24T12:36:00,Client Relations,Portfolio Management,CLEAN
abba9d10-9ae5-4401-9892-431576f2220a,t.grant@acmefund.com,r.kim@acmefund.com,,System maintenance notification,"Team,

IT has scheduled system maintenance for Saturday 2am-6am. Trading systems will be unavailable during this window.

Please plan accordingly.
Thomas",2025-10-24T15:07:00,Legal,Client Relations,CLEAN
81e80ffb-d325-437a-a1ec-f8b1bd2442cc,d.park@acmefund.com,t.grant@acmefund.com,,Welcome aboard!,"Hi Thomas,

Welcome to the team! I've set up your onboarding meetings for next week. Please reach out if you have any questions.

Best,
David",2025-10-24T16:20:00,Trading,Legal,CLEAN
e1256eed-9005-4f25-9016-c326dd947fc9,s.chen@acmefund.com,d.park@acmefund.com,,RE: After hours trading,"Yeah I've been day trading in my Schwab account. Made $20k last month! Haven't reported it yet since it's small amounts. Compliance doesn't need to know everything.

Sarah",2025-10-24T18:27:00,Research,Trading,PERSONAL_TRADING
51d28d31-ffd0-4d9f-82f8-8320987c3fe8,r.hayes@acmefund.com,j.liu@acmefund.com,,RE: Hedge fund strategies,"Here's our fund's full trading strategy doc. I know you're at a competitor now but this might help you. Delete after reading.

Robert",2025-10-25T10:16:00,Compliance,Compliance,CONFIDENTIALITY_BREACH
4bbb9f42-6576-44a6-bf50-1aa4ab9598d2,j.morrison@acmefund.com,d.park@acmefund.com,a.bell@acmefund.com,Conference room booking,"Hi,

I've booked the large conference room for our team meeting on Tuesday. Calendar invite to follow.

James",2025-10-26T17:40:00,Trading,Trading,CLEAN
ea0a00d0-0014-4b12-bfad-c8b63790f031,a.foster@acmefund.com,a.bell@acmefund.com,,Office closure reminder - Holiday,"Team,

Just a friendly reminder that the office will be closed next Friday for the holiday. Please plan accordingly.

Regards,
Amanda",2025-10-27T06:21:00,Portfolio Management,Client Relations,CLEAN
e186fd38-61e9-413c-a80f-f5c794b26493,s.chen@acmefund.com,r.hayes@acmefund.com,p.sharma@acmefund.com,Updated compliance training schedule,"All,

The annual compliance training has been rescheduled to next Monday. Please block your calendars from 10am-12pm.

Best,
Sarah",2025-10-27T15:21:00,Research,Compliance,CLEAN
658fb2bb-f169-4775-88c6-ab2abe6b0492,d.park@acmefund.com,m.torres@acmefund.com,,Quick trade question,"Michael,

Thinking of buying some puts on a stock we're long in the fund. Just in my personal account though. Should be fine right? Don't want to bother with pre-clearance.

David",2025-10-28T17:29:00,Trading,Portfolio Management,PERSONAL_TRADING
16244f80-5e70-4424-b1ff-3cdf1b65d514,d.park@acmefund.com,a.bell@acmefund.com,,Performance data you asked for,"As discussed, here are the detailed performance numbers for our top 5 clients' accounts. Please don't share this externally - I could get in serious trouble.

David",2025-10-30T11:13:00,Trading,Client Relations,CONFIDENTIALITY_BREACH
fa507bc1-70ca-46b4-9b51-9de5a3c829cb,l.martinez@acmefund.com,a.bell@acmefund.com,,Monthly risk report - draft for review,"Hi Andrew,

Attached is the draft monthly risk report. Please review and send any comments by EOD Wednesday.

Thanks,
Lisa",2025-11-02T10:24:00,Operations,Client Relations,CLEAN
88ec1dcf-d0c1-4cbc-a0b8-4088b756cc95,j.liu@acmefund.com,r.hayes@acmefund.com,,Weekly team sync notes,"Hi all,

Attached are the notes from today's sync. Action items highlighted in yellow.

Thanks,
Jennifer",2025-11-02T12:02:00,Compliance,Compliance,CLEAN
3ea919ad-d28a-4a3b-be06-005ae0d9883d,d.park@acmefund.com,m.torres@acmefund.com,,Quiet tip,"Don't share this with anyone - GlobalBank is about to announce layoffs and restructuring. Their stock will tank. You didn't hear this from me.

David",2025-11-02T15:07:00,Trading,Portfolio Management,INSIDER_TRADING
2cef8472-528f-4e18-bd7f-0ea3a654e293,t.grant@acmefund.com,r.kim@acmefund.com,,System maintenance notification,"Team,

IT has scheduled system maintenance for Saturday 2am-6am. Trading systems will be unavailable during this window.

Please plan accordingly.
Thomas",2025-11-03T22:57:00,Legal,Client Relations,CLEAN
90620ce9-0462-4921-8b7a-9bd9e255fa0f,p.sharma@acmefund.com,l.martinez@acmefund.com,,Monthly risk report - draft for review,"Hi Lisa,

Attached is the draft monthly risk report. Please review and send any comments by EOD Wednesday.

Thanks,
Priya",2025-11-04T08:29:00,Research,Operations,CLEAN
9acb6b50-1ba7-46c0-a10b-bdb78c0cec63,j.morrison@acmefund.com,a.bell@acmefund.com,,Updated compliance training schedule,"All,

The annual compliance training has been rescheduled to next Monday. Please block your calendars from 10am-12pm.

Best,
James",2025-11-04T17:54:00,Trading,Client Relations,CLEAN
4e0d732c-0899-4f7e-a612-3cf257a3e04e,d.park@acmefund.com,s.chen@acmefund.com,,System maintenance notification,"Team,

IT has scheduled system maintenance for Saturday 2am-6am. Trading systems will be unavailable during this window.

Please plan accordingly.
David",2025-11-05T15:32:00,Trading,Research,CLEAN
8f25d66c-12a0-44a9-ac8b-4ff1563c2317,j.liu@acmefund.com,r.hayes@acmefund.com,,RE: Hedge fund strategies,"Here's our fund's full trading strategy doc. I know you're at a competitor now but this might help you. Delete after reading.

Jennifer",2025-11-06T11:52:00,Compliance,Compliance,CONFIDENTIALITY_BREACH
caf88c19-36bd-4638-b9db-e94b3b277fe0,r.hayes@acmefund.com,r.kim@acmefund.com,,RE: Hedge fund strategies,"Here's our fund's full trading strategy doc. I know you're at a competitor now but this might help you. Delete after reading.

Robert",2025-11-06T14:47:00,Compliance,Client Relations,CONFIDENTIALITY_BREACH
0cebd0d6-2b14-4afb-8fb5-d9fb3df20464,m.torres@acmefund.com,p.sharma@acmefund.com,,FW: Client portfolio details,"Hey,

Forwarding you the Westbrook pension fund's full portfolio breakdown. They're way overexposed to energy. Don't tell anyone I sent this.

Michael",2025-11-08T11:26:00,Portfolio Management,Research,CONFIDENTIALITY_BREACH
538abefc-d433-451f-b160-826e997c0e61,s.chen@acmefund.com,p.sharma@acmefund.com,,RE: Lunch order for client meeting,"Sounds good. I'll order from the usual place. Can you confirm headcount by noon?

Sarah",2025-11-08T11:33:00,Research,Research,CLEAN
1cbc21a9-b107-4967-adf8-cb52143b4917,l.martinez@acmefund.com,e.volkov@acmefund.com,,Q4 Portfolio Review Meeting,"Hi team,

Just a reminder about our Q4 portfolio review meeting scheduled for Thursday at 2pm. Please come prepared with your sector updates.

Thanks,
Lisa",2025-11-08T11:46:00,Operations,Trading,CLEAN
4f6ab3f5-9624-48e2-908a-ae5eb794ff30,e.volkov@acmefund.com,m.webb@acmefund.com,,Research update - please read,"James,

I know we're not supposed to share this directly, but my team just finished our analysis on Quantum Industries. Rating it a strong buy. Wanted you to have a heads up before it goes through official channels.

- Sarah (Research)",2025-11-08T13:55:00,Trading,Research,INFO_BARRIER_VIOLATION
32445ac3-87c3-47a5-95aa-5732c21d362c,j.morrison@acmefund.com,a.bell@acmefund.com,,Side investment opportunity,"Found a great IPO coming up. Going to buy in my wife's account to avoid the disclosure requirements. Let me know if you want details.

James",2025-11-09T11:03:00,Trading,Client Relations,PERSONAL_TRADING
eb136c03-d5f9-45fe-a047-d1118bec77ff,j.liu@acmefund.com,m.torres@acmefund.com,,Welcome aboard!,"Hi Michael,

Welcome to the team! I've set up your onboarding meetings for next week. Please reach out if you have any questions.

Best,
Jennifer",2025-11-09T12:48:00,Compliance,Portfolio Management,CLEAN
